w	ems
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0.0190000000000000
487	0.0218000000000000
488	0.0240000000000000
489	0.0271000000000000
490	0.0300000000000000
491	0.0334000000000000
492	0.0361000000000000
493	0.0398000000000000
494	0.0432000000000000
495	0.0461000000000000
496	0.0487000000000000
497	0.0515000000000000
498	0.0531000000000000
499	0.0548000000000000
500	0.0558000000000000
501	0.0566000000000000
502	0.0579000000000000
503	0.0577000000000000
504	0.0571000000000000
505	0.0570000000000000
506	0.0552000000000000
507	0.0539000000000000
508	0.0518000000000000
509	0.0502000000000000
510	0.0484000000000000
511	0.0472000000000000
512	0.0448000000000000
513	0.0427000000000000
514	0.0409000000000000
515	0.0384000000000000
516	0.0363000000000000
517	0.0351000000000000
518	0.0338000000000000
519	0.0313000000000000
520	0.0303000000000000
521	0.0289000000000000
522	0.0281000000000000
523	0.0269000000000000
524	0.0255000000000000
525	0.0251000000000000
526	0.0240000000000000
527	0.0234000000000000
528	0.0227000000000000
529	0.0223000000000000
530	0.0216000000000000
531	0.0212000000000000
532	0.0209000000000000
533	0.0207000000000000
534	0.0204000000000000
535	0.0204000000000000
536	0.0198000000000000
537	0.0200000000000000
538	0.0200000000000000
539	0.0199000000000000
540	0.0208000000000000
541	0.0207000000000000
542	0.0214000000000000
543	0.0218000000000000
544	0.0231000000000000
545	0.0243000000000000
546	0.0253000000000000
547	0.0278000000000000
548	0.0305000000000000
549	0.0334000000000000
550	0.0364000000000000
551	0.0408000000000000
552	0.0464000000000000
553	0.0522000000000000
554	0.0599000000000000
555	0.0680000000000000
556	0.0775000000000000
557	0.0894000000000000
558	0.102700000000000
559	0.118300000000000
560	0.134900000000000
561	0.154900000000000
562	0.178100000000000
563	0.203400000000000
564	0.231100000000000
565	0.257300000000000
566	0.290600000000000
567	0.324300000000000
568	0.365200000000000
569	0.404200000000000
570	0.445700000000000
571	0.484600000000000
572	0.529900000000000
573	0.573400000000000
574	0.616200000000000
575	0.661200000000000
576	0.705400000000000
577	0.750400000000000
578	0.788800000000000
579	0.826000000000000
580	0.859900000000000
581	0.889900000000000
582	0.915700000000000
583	0.939200000000000
584	0.958800000000000
585	0.975500000000000
586	0.986500000000000
587	0.995600000000000
588	0.996600000000000
589	1
590	0.996000000000000
591	0.991100000000000
592	0.985200000000000
593	0.973300000000000
594	0.966100000000000
595	0.948800000000000
596	0.936700000000000
597	0.918400000000000
598	0.901300000000000
599	0.884300000000000
600	0.864300000000000
601	0.844900000000000
602	0.824800000000000
603	0.810500000000000
604	0.790400000000000
605	0.770900000000000
606	0.753600000000000
607	0.734300000000000
608	0.716800000000000
609	0.701700000000000
610	0.683100000000000
611	0.666800000000000
612	0.649700000000000
613	0.635300000000000
614	0.622300000000000
615	0.608400000000000
616	0.594000000000000
617	0.579300000000000
618	0.565000000000000
619	0.551300000000000
620	0.537300000000000
621	0.526100000000000
622	0.514000000000000
623	0.502500000000000
624	0.488500000000000
625	0.477800000000000
626	0.464800000000000
627	0.451500000000000
628	0.439900000000000
629	0.427200000000000
630	0.418200000000000
631	0.405100000000000
632	0.394100000000000
633	0.380900000000000
634	0.369800000000000
635	0.359900000000000
636	0.346700000000000
637	0.336700000000000
638	0.324400000000000
639	0.314500000000000
640	0.303100000000000
641	0.291500000000000
642	0.281000000000000
643	0.271700000000000
644	0.259700000000000
645	0.251000000000000
646	0.242900000000000
647	0.236900000000000
648	0.228500000000000
649	0.221300000000000
650	0.213700000000000
651	0.205200000000000
652	0.199700000000000
653	0.194400000000000
654	0.188200000000000
655	0.181000000000000
656	0.174300000000000
657	0.169200000000000
658	0.163800000000000
659	0.157400000000000
660	0.151800000000000
661	0.146600000000000
662	0.141500000000000
663	0.137300000000000
664	0.132100000000000
665	0.126600000000000
666	0.122000000000000
667	0.119400000000000
668	0.114100000000000
669	0.108600000000000
670	0.105200000000000
671	0.101100000000000
672	0.0987000000000000
673	0.0946000000000000
674	0.0900000000000000
675	0.0867000000000000
676	0.0825000000000000
677	0.0786000000000000
678	0.0774000000000000
679	0.0735000000000000
680	0.0706000000000000
681	0.0680000000000000
682	0.0659000000000000
683	0.0632000000000000
684	0.0607000000000000
685	0.0578000000000000
686	0.0558000000000000
687	0.0533000000000000
688	0.0504000000000000
689	0.0487000000000000
690	0.0469000000000000
691	0.0446000000000000
692	0.0429000000000000
693	0.0407000000000000
694	0.0389000000000000
695	0.0373000000000000
696	0.0356000000000000
697	0.0346000000000000
698	0.0329000000000000
699	0.0319000000000000
700	0.0298000000000000
701	0.0286000000000000
702	0.0276000000000000
703	0.0262000000000000
704	0.0249000000000000
705	0.0242000000000000
706	0.0231000000000000
707	0.0221000000000000
708	0.0209000000000000
709	0.0200000000000000
710	0.0193000000000000
711	0.0187000000000000
712	0.0179000000000000
713	0.0169000000000000
714	0.0160000000000000
715	0.0153000000000000
716	0.0151000000000000
717	0.0142000000000000
718	0.0137000000000000
719	0.0132000000000000
720	0.0123000000000000
721	0.0118000000000000
722	0.0113000000000000
723	0.0106000000000000
724	0.0103000000000000
725	0.00970000000000000
726	0.00940000000000000
727	0.00910000000000000
728	0.00850000000000000
729	0.00830000000000000
730	0.00780000000000000
731	0.00710000000000000
732	0.00720000000000000
733	0.00710000000000000
734	0.00650000000000000
735	0.00610000000000000
736	0.00570000000000000
737	0.00560000000000000
738	0.00570000000000000
739	0.00530000000000000
740	0.00520000000000000
741	0.00470000000000000
742	0.00460000000000000
743	0.00450000000000000
744	0.00420000000000000
745	0.00390000000000000
746	0.00380000000000000
747	0.00350000000000000
748	0.00360000000000000
749	0.00320000000000000
750	0.00310000000000000
751	0.00310000000000000
752	0.00280000000000000
753	0.00270000000000000
754	0.00270000000000000
755	0.00250000000000000
756	0.00220000000000000
757	0.00230000000000000
758	0.00220000000000000
759	0.00210000000000000
760	0.00200000000000000
761	0.00190000000000000
762	0.00190000000000000
763	0.00180000000000000
764	0.00160000000000000
765	0.00160000000000000
766	0.00160000000000000
767	0.00150000000000000
768	0.00150000000000000
769	0.00130000000000000
770	0.00130000000000000
771	0.00130000000000000
772	0.00130000000000000
773	0.00110000000000000
774	0.00100000000000000
775	0.00110000000000000
776	0.00100000000000000
777	0.00100000000000000
778	0.000800000000000000
779	0.000900000000000000
780	0.000800000000000000
781	0.000700000000000000
782	0.000800000000000000
783	0.000600000000000000
784	0.000700000000000000
785	0.000700000000000000
786	0.000600000000000000
787	0.000700000000000000
788	0.000600000000000000
789	0.000600000000000000
790	0.000600000000000000
791	0.000500000000000000
792	0.000600000000000000
793	0.000500000000000000
794	0.000500000000000000
795	0.000500000000000000
796	0.000500000000000000
797	0.000400000000000000
798	0.000400000000000000
799	0.000300000000000000
800	0.000400000000000000
