w	ss
302.7443948	17.12341593
312.2779308	23.3476123
320.2225442	28.8580147
328.1671575	35.08910038
335.3173095	40.50918507
341.6730002	46.04486155
348.8231522	52.54597117
355.9733042	58.59665373
363.1234562	64.49290416
371.0680695	70.20921607
379.0126829	76.23439224
386.9572962	82.31104579
394.9019096	88.33622196
402.8465229	94.46435289
410.7911362	100.6954386
418.7357496	106.9265243
426.6803629	113.4664742
434.6249762	119.5431278
442.5695896	125.310917
450.5142029	130.9242742
458.4588163	136.4346766
467.1978909	142.0225273
476.7314269	147.7736221
487.0594243	153.5555904
498.181883	159.1478151
510.098803	164.6851176
524.399107	170.1973784
541.082795	175.4225308
558.5609443	179.4756351
576.0390937	181.4930432
593.517243	181.8959335
610.9953924	179.2803776
626.0901577	174.0493079
637.2126164	168.5830887
645.9516911	163.1547807
653.1018431	157.4557518
659.4575337	151.6020585
665.8132244	145.1048979
672.0100228	137.7840529
676.4590063	131.9684101
680.1135284	124.9685553
681.7024511	118.470001
682.0996817	111.9710982
684.8802964	104.2932024
688.217034	95.57734211
689.6470644	88.10067115
692.0304484	79.99368106
693.6193711	72.50234873
693.2221404	66.5455646
696.1616473	59.44254598
697.5916778	52.64795027
699.0217082	45.23562603
702.3584458	38.94349226
704.7418298	32.93420532
707.9196751	24.95614098
709.5085978	17.54386319
712.050874	9.977432031
718.2476724	3.450196561

