w	cs	acs
682	328.22453	144.4187932
684	324.94185	142.974414
686	320.0286	140.812584
688	325.78126	143.3437544
690	289.60648	127.4268512
692	290.87977	127.9870988
694	300.81928	132.3604832
696	290.21864	127.6962016
698	296.21976	130.3366944
700	290.45116	127.7985104
702	253.17671	111.3977524
704	270.01812	118.8079728
706	275.45559	121.2004596
708	244.91398	107.7621512
710	252.73584	111.2037696
712	250.58431	110.2570964
714	235.05664	103.4249216
716	201.91695	88.843458
718	213.04124	93.7381456
720	212.9357	93.691708
722	186.99538	82.2779672
724	186.37858	82.0065752
726	220.27335	96.920274
728	211.03566	92.8556904
730	203.38566	89.4896904
732	188.43164	82.9099216
734	181.47249	79.8478956
736	200.88721	88.3903724
738	232.58773	102.3386012
740	245.72117	108.1173148
742	249.40109	109.7364796
744	274.60448	120.8259712
746	240.81631	105.9591764
748	250.43656	110.1920864
750	273.44266	120.3147704
754	291.43312	128.2305728
756	316.51601	139.2670444
760	299.89126	131.9521544
762	258.34847	113.6733268
764	237.80567	104.6344948
766	280.63116	123.4777104
768	218.08576	95.9577344
770	180.91659	79.6032996
772	175.60301	77.2653244
774	142.90063	62.8762772
776	130.92352	57.6063488
778	103.9712	45.747328
780	87.86009	38.6584396
782	98.18508	43.2014352
784	81.53078	35.8735432
786	74.87321	32.9442124
788	76.65678	33.7289832
790	50.44072	22.1939168
790	71.23222	31.3421768
792	69.94678	30.7765832
794	52.4412	23.074128
796	51.51361	22.6659884
798	44.41861	19.5441884
800	29.84539	13.1319716
802	27.48944	12.0953536
804	27.33328	12.0266432
806	21.93985	9.653534
808	18.47644	8.1296336
810	17.66951	7.7745844
812	10.17785	4.478254
814	10.09299	4.4409156
816	7.69647	3.3864468
818	9.57587	4.2133828
820	6.53142	2.8738248
822	6.25221	2.7509724
824	6.21278	2.7336232
826	5.00528	2.2023232
828	5.92338	2.6062872
830	6.65137	2.9266028
832	4.99501	2.1978044
834	5.10698	2.2470712
836	4.83541	2.1275804
838	5.19058	2.2838552
840	4.39081	1.9319564
842	4.29291	1.8888804
844	4.11909	1.8123996
846	5.36303	2.3597332
848	4.70755	2.071322
850	4.74908	2.0895952
852	4.51296	1.9857024
854	5.08583	2.2377652
856	5.72567	2.5192948
858	5.08181	2.2359964
860	6.01484	2.6465296
862	5.85216	2.5749504
864	6.40865	2.819806
866	7.22904	3.1807776
868	5.97686	2.6298184
870	5.95754	2.6213176
872	6.17274	2.7160056
874	6.38104	2.8076576
876	6.60622	2.9067368
878	6.54169	2.8783436
880	6.70308	2.9493552
882	6.87634	3.0255896
884	7.09757	3.1229308
886	7.10312	3.1253728
888	7.19984	3.1679296
890	7.03134	3.0937896
892	7.88097	3.4676268
894	7.30392	3.2137248
896	8.02426	3.5306744
898	7.33374	3.2268456
900	7.87886	3.4666984
902	7.65409	3.3677996
904	7.83126	3.4457544
906	7.59606	3.3422664
908	7.96247	3.5034868
910	7.78734	3.4264296
912	7.77248	3.4198912
914	7.77214	3.4197416
916	7.64194	3.3624536
918	7.30367	3.2136148
920	7.68156	3.3798864
922	7.2976	3.210944
924	7.61966	3.3526504
926	7.81924	3.4404656
928	7.94792	3.4970848
930	8.1217	3.573548
932	8.8368	3.888192
934	8.75015	3.850066
936	9.19117	4.0441148
938	9.67249	4.2558956
940	9.34922	4.1136568
942	9.93086	4.3695784
944	10.52882	4.6326808
946	10.31618	4.5391192
948	10.81949	4.7605756
950	11.41242	5.0214648
952	11.23025	4.94131
954	12.06681	5.3093964
956	11.99468	5.2776592
958	12.24875	5.38945
960	12.69716	5.5867504
962	13.14313	5.7829772
964	13.03713	5.7363372
966	13.60576	5.9865344
968	13.5454	5.959976
