w	ems	 
7300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0.00120000000000000
551	0.00140000000000000
552	0.00150000000000000
553	0.00190000000000000
554	0.00230000000000000
555	0.00260000000000000
556	0.00330000000000000
557	0.00390000000000000
558	0.00450000000000000
559	0.00520000000000000
560	0.00630000000000000
561	0.00870000000000000
562	0.0157000000000000
563	0.0253000000000000
564	0.0291000000000000
565	0.0258000000000000
566	0.0201000000000000
567	0.0193000000000000
568	0.0225000000000000
569	0.0256000000000000
570	0.0298000000000000
571	0.0345000000000000
572	0.0416000000000000
573	0.0479000000000000
574	0.0552000000000000
575	0.0654000000000000
576	0.0752000000000000
577	0.0894000000000000
578	0.102200000000000
579	0.118900000000000
580	0.137600000000000
581	0.159500000000000
582	0.183100000000000
583	0.211100000000000
584	0.236600000000000
585	0.265400000000000
586	0.297400000000000
587	0.334900000000000
588	0.368700000000000
589	0.405700000000000
590	0.447000000000000
591	0.488000000000000
592	0.530700000000000
593	0.571500000000000
594	0.612800000000000
595	0.655000000000000
596	0.691700000000000
597	0.732700000000000
598	0.766700000000000
599	0.807800000000000
600	0.838800000000000
601	0.868800000000000
602	0.895700000000000
603	0.919700000000000
604	0.936800000000000
605	0.960500000000000
606	0.973800000000000
607	0.979900000000000
608	0.988900000000000
609	0.995600000000000
610	1
611	0.990500000000000
612	0.990900000000000
613	0.975700000000000
614	0.968000000000000
615	0.955300000000000
616	0.942500000000000
617	0.931000000000000
618	0.903100000000000
619	0.892400000000000
620	0.870900000000000
621	0.851800000000000
622	0.830500000000000
623	0.811900000000000
624	0.795000000000000
625	0.772300000000000
626	0.753600000000000
627	0.738900000000000
628	0.719200000000000
629	0.706400000000000
630	0.690400000000000
631	0.673700000000000
632	0.662000000000000
633	0.650000000000000
634	0.633500000000000
635	0.615700000000000
636	0.605300000000000
637	0.595700000000000
638	0.582400000000000
639	0.576300000000000
640	0.562100000000000
641	0.554000000000000
642	0.542800000000000
643	0.538000000000000
644	0.534900000000000
645	0.521400000000000
646	0.514000000000000
647	0.503200000000000
648	0.499100000000000
649	0.488700000000000
650	0.483400000000000
651	0.476600000000000
652	0.470700000000000
653	0.461800000000000
654	0.455400000000000
655	0.451700000000000
656	0.440200000000000
657	0.432800000000000
658	0.422600000000000
659	0.416000000000000
660	0.412800000000000
661	0.406200000000000
662	0.400000000000000
663	0.391600000000000
664	0.385800000000000
665	0.378200000000000
666	0.370500000000000
667	0.364600000000000
668	0.359000000000000
669	0.354000000000000
670	0.350200000000000
671	0.339600000000000
672	0.336400000000000
673	0.329300000000000
674	0.320100000000000
675	0.314000000000000
676	0.309100000000000
677	0.304700000000000
678	0.296800000000000
679	0.286400000000000
680	0.278600000000000
681	0.275700000000000
682	0.267500000000000
683	0.260200000000000
684	0.252000000000000
685	0.246600000000000
686	0.239800000000000
687	0.232500000000000
688	0.230800000000000
689	0.225000000000000
690	0.216600000000000
691	0.206400000000000
692	0.206500000000000
693	0.197700000000000
694	0.195200000000000
695	0.190300000000000
696	0.184800000000000
697	0.180100000000000
698	0.175500000000000
699	0.169400000000000
700	0.166500000000000
701	0.163100000000000
702	0.157900000000000
703	0.153800000000000
704	0.148700000000000
705	0.145100000000000
706	0.142500000000000
707	0.141700000000000
708	0.136100000000000
709	0.135400000000000
710	0.128400000000000
711	0.125800000000000
712	0.124500000000000
713	0.121900000000000
714	0.119600000000000
715	0.115700000000000
716	0.111200000000000
717	0.109600000000000
718	0.106400000000000
719	0.104400000000000
720	0.101800000000000
721	0.0996000000000000
722	0.0968000000000000
723	0.0960000000000000
724	0.0942000000000000
725	0.0921000000000000
726	0.0888000000000000
727	0.0874000000000000
728	0.0862000000000000
729	0.0829000000000000
730	0.0814000000000000
731	0.0791000000000000
732	0.0770000000000000
733	0.0780000000000000
734	0.0728000000000000
735	0.0748000000000000
736	0.0709000000000000
737	0.0733000000000000
738	0.0682000000000000
739	0.0666000000000000
740	0.0664000000000000
741	0.0663000000000000
742	0.0612000000000000
743	0.0628000000000000
744	0.0603000000000000
745	0.0606000000000000
746	0.0569000000000000
747	0.0558000000000000
748	0.0560000000000000
749	0.0559000000000000
750	0.0536000000000000
751	0.0513000000000000
752	0.0523000000000000
753	0.0500000000000000
754	0.0496000000000000
755	0.0480000000000000
756	0.0454000000000000
757	0.0456000000000000
758	0.0437000000000000
759	0.0434000000000000
760	0.0403000000000000
761	0.0414000000000000
762	0.0398000000000000
763	0.0401000000000000
764	0.0395000000000000
765	0.0359000000000000
766	0.0380000000000000
767	0.0368000000000000
768	0.0339000000000000
769	0.0335000000000000
770	0.0336000000000000
