w	cs	acs
720	119.743510393684	35.9230531181053
722	120.831278624	36.2493835872
724	121.240764064	36.3722292192
726	123.974545642316	37.1923636926947
728	122.996847346947	36.8990542040842
730	120.907186780211	36.2721560340632
732	117.038968894105	35.1116906682316
734	117.816214119579	35.3448642358737
736	115.281932355579	34.5845797066737
738	113.149323480421	33.9447970441263
740	110.327313953684	33.0981941861053
742	110.491957770526	33.1475873311579
744	105.476507156632	31.6429521469895
746	102.626511289474	30.7879533868421
748	100.714985178316	30.2144955534947
750	97.620966244421	29.2862898733263
752	99.2703885172632	29.7811165551789
754	97.9506579755789	29.3851973926737
756	96.4973887610526	28.9492166283158
758	94.0548267621053	28.2164480286316
760	93.5305880010526	28.0591764003158
762	93.8922863244211	28.1676858973263
764	88.8295563061053	26.6488668918316
766	81.6231617202105	24.4869485160632
768	78.0160011635789	23.4048003490737
770	80.7596261418948	24.2278878425684
772	78.0210782856842	23.4063234857053
774	65.3023382538947	19.5907014761684
776	61.6182023092632	18.4854606927789
778	59.3504072869474	17.8051221860842
780	58.9939207848421	17.6981762354526
782	58.000234735579	17.4000704206737
784	54.0008095082105	16.2002428524632
786	51.5063261646316	15.4518978493895
788	47.8845144842105	14.3653543452632
790	45.5079757955789	13.6523927386737
790	45.4940188905263	13.6482056671579
792	55.07616548	16.522849644
794	52.58172332	15.774516996
796	50.87476562	15.262429686
798	48.00834262	14.402502786
800	45.26882472	13.580647416
802	42.73588116	12.820764348
804	39.62206486	11.886619458
806	36.56230004	10.968690012
808	30.86565034	9.259695102
810	27.11363284	8.134089852
812	25.41636902	7.624910706
814	21.66760358	6.500281074
816	17.86846236	5.360538708
818	17.23432312	5.170296936
820	13.54100468	4.062301404
822	12.67164556	3.801493668
824	10.1290455	3.03871365
826	10.3656609	3.10969827
828	9.1030891	2.73092673
830	8.77527896	2.632583688
832	7.33865342	2.201596026
834	7.08866844	2.126600532
836	6.70693142	2.012079426
838	6.46832242	1.940496726
840	5.759012	1.7277036
842	5.45120016	1.635360048
844	5.0595699	1.51787097
846	4.97393232	1.492179696
848	4.41820386	1.325461158
850	4.42810956	1.328432868
852	4.59268124	1.377804372
854	5.0208193	1.50624579
856	4.35303806	1.305911418
858	4.28015952	1.284047856
860	4.04112688	1.212338064
862	3.79708532	1.139125596
864	3.98255242	1.194765726
866	3.82242896	1.146728688
868	3.93347248	1.180041744
870	3.73903418	1.121710254
872	4.15334164	1.246002492
874	4.29225818	1.287677454
876	4.25432994	1.276298982
878	4.34191128	1.302573384
880	4.58737328	1.376211984
882	4.6166169	1.38498507
884	4.23132878	1.269398634
886	4.33549438	1.300648314
888	4.1588365	1.24765095
890	4.37502996	1.312508988
892	5.49252998	1.647758994
894	5.39078162	1.617234486
896	5.6195846	1.68587538
898	5.49624306	1.648872918
900	5.12153348	1.536460044
902	4.4414293	1.33242879
904	4.57757972	1.373273916
906	4.26411104	1.279233312
908	4.21314964	1.263944892
910	4.0548578	1.21645734
912	3.7976211	1.13928633
914	3.878798	1.1636394
916	3.880044	1.1640132
918	3.95322158	1.185966474
920	4.15245698	1.245737094
922	4.16958948	1.250876844
924	4.5725085	1.37175255
926	4.59822594	1.379467782
928	4.81997656	1.445992968
930	4.831988	1.4495964
932	4.87078844	1.461236532
934	5.16944218	1.550832654
936	5.3613511	1.60840533
938	5.45824006	1.637472018
940	5.6271852	1.68815556
942	5.75412768	1.726238304
944	5.74118174	1.722354522
946	6.06479286	1.819437858
948	6.1358647	1.84075941
950	6.28238184	1.884714552
952	6.5473562	1.96420686
954	6.5518418	1.96555254
956	6.86917308	2.060751924
958	6.95919658	2.087758974
960	7.32214392	2.196643176
962	7.30401462	2.191204386
964	7.85703926	2.357111778
966	7.94738672	2.384216016
968	8.41264312	2.523792936
970	8.77934092	2.633802276
972	9.02252274	2.706756822
974	9.45559496	2.836678488
976	9.83584924	2.950754772
978	9.97654756	2.992964268
980	10.4056575	3.12169725
982	11.11081874	3.333245622
984	11.15229808	3.345689424
986	11.31578574	3.394735722
988	11.80019316	3.540057948
990	12.11053438	3.633160314
992	12.297397	3.6892191
994	12.59970152	3.779910456
996	12.94921698	3.884765094
998	13.5793441	4.07380323
1000	13.64347572	4.093042716
1002	13.2769399	3.98308197
1004	14.481635	4.3444905
1006	14.9197286	4.47591858
1008	15.31512178	4.594536534
1010	15.80908602	4.742725806
1012	16.43825372	4.931476116
1014	16.8059234	5.04177702
1016	17.5812469	5.27437407
1018	18.20986636	5.462959908
1020	19.08229064	5.724687192
1022	19.58592384	5.875777152
1024	20.1145518	6.03436554
1026	20.74859136	6.224577408
1028	22.623622	6.7870866
1030	23.03083972	6.909251916
1032	23.64779662	7.094338986
1034	23.98733162	7.196199486
1036	24.6470014	7.39410042
1038	25.5309761	7.65929283
1040	27.0117225	8.10351675
1042	27.93331394	8.379994182
1044	29.51398954	8.854196862
1046	30.90722936	9.272168808
1048	31.77435814	9.532307442
1050	31.81786846	9.545360538
1052	33.3949805	10.01849415
1054	34.86162218	10.458486654
1056	35.58944816	10.676834448
1058	36.93347098	11.080041294
1060	36.63718464	10.991155392
1062	37.83826634	11.351479902
1064	38.7307263	11.61921789
1066	40.03935026	12.011805078
1068	40.1070579	12.03211737
1070	40.79922336	12.239767008
1072	41.73972908	12.521918724
