w	cs	acs
700	111.84131271	79.4073320241
702	112.39366293	79.7995006803
704	111.99648687	79.5175056777
706	110.5672971	78.502780941
708	109.83748959	77.9846176089
710	108.89973492	77.3188117932
712	105.92269152	75.2051109792
714	107.97830757	76.6645983747
716	107.27805294	76.1674175874
718	107.46276921	76.2985661391
720	107.84618121	76.5707886591
722	107.16551721	76.0875172191
724	107.65526142	76.4352356082
726	105.7631232	75.091817472
728	104.04957312	73.8751969152
730	100.75599942	71.5367595882
732	95.79486354	68.0143531134
734	87.62865105	62.2163422455
736	85.29340272	60.5583159312
738	77.93878512	55.3365374352
740	72.07708338	51.1747291998
742	68.36491209	48.5390875839
744	63.62296725	45.1723067475
746	59.40199962	42.1754197302
748	57.72167499	40.9823892429
750	52.93376379	37.5829722909
752	50.51242008	35.8638182568
754	49.16231442	34.9052432382
756	46.83925773	33.2558729883
758	42.36287955	30.0776444805
760	41.23742532	29.2785719772
762	36.81594183	26.1393186993
764	34.45799034	24.4651731414
766	31.90906521	22.6554362991
768	28.71399393	20.3869356903
770	24.51030138	17.4023139798
772	20.53413585	14.5792364535
774	18.05845749	12.8215048179
776	15.23585589	10.8174576819
778	12.89002065	9.1519146615
780	10.77396336	7.6495139856
782	9.85742559	6.9987721689
784	9.53709348	6.7713363708
786	8.29671258	5.8906659318
788	8.13461331	5.7755754501
790	7.40065935	5.2544681385
792	8.04205593	5.7098597103
794	10.5631083	7.499806893
796	9.21406887	6.5419888977
798	8.72976351	6.1981320921
800	7.29586725	5.1800657475
802	7.0273173	4.989395283
804	6.75101295	4.7932191945
806	5.70168108	4.0481935668
808	5.07747342	3.6050061282
810	4.75762596	3.3779144316
812	4.77745353	3.3919920063
814	4.71173499	3.3453318429
816	4.48478955	3.1842005805
818	4.43802621	3.1509986091
820	4.76879445	3.3858440595
822	4.67226294	3.3173066874
824	4.51687338	3.2069800998
826	4.99737693	3.5481376203
828	4.90604733	3.4832936043
830	5.1151038	3.631723698
832	5.49394932	3.9007040172
834	5.55358281	3.9430437951
836	6.22277676	4.4181714996
838	6.70652208	4.7616306768
840	6.34886115	4.5076914165
842	6.89184147	4.8932074437
844	6.80675847	4.8327985137
846	7.42196241	5.2695933111
848	7.11410196	5.0510123916
850	7.76305908	5.5117719468
852	8.18942184	5.8144895064
854	8.37731526	5.9478938346
856	8.65105635	6.1422500085
858	8.86337613	6.2929970523
860	9.30619545	6.6073987695
862	10.0826586	7.158687606
864	10.44683538	7.4172531198
866	10.98097353	7.7964912063
868	11.27211894	8.0032044474
870	12.02905608	8.5406298168
872	11.40860715	8.1001110765
874	12.037629	8.54671659
876	12.61677498	8.9579102358
878	12.94074735	9.1879306185
880	13.55694213	9.6254289123
882	14.27443953	10.1348520663
884	14.39133711	10.2178493481
886	15.00749958	10.6553247018
888	13.5532911	9.622836681
890	14.48849328	10.2868302288
892	15.4232862	10.950533202
894	16.19317965	11.4971575515
896	16.92851217	12.0192436407
898	17.1317313	12.163529223
900	18.25486998	12.9609576858
902	19.07327151	13.5420227721
904	19.5789984	13.901088864
906	19.59068385	13.9093855335
908	20.28759978	14.4041958438
910	20.91131202	14.8470315342
912	21.42794892	15.2138437332
914	21.14981367	15.0163677057
916	22.52799672	15.9948776712
918	23.00796177	16.3356528567
920	24.06623274	17.0870252454
922	24.10432623	17.1140716233
924	24.85638456	17.6480330376
926	25.11758937	17.8334884527
928	26.09006652	18.5239472292
930	26.60267544	18.8878995624
932	27.43061919	19.4757396249
934	28.08401355	19.9396496205
936	28.20239739	20.0237021469
938	28.95875295	20.5607145945
940	29.51644509	20.9566760139
942	30.35991918	21.5555426178
944	31.03238721	22.0329949191
946	30.86756313	21.9159698223
948	31.90153698	22.6500912558
950	32.35156143	22.9696086153
952	32.95530609	23.3982673239
954	33.99715281	24.1379784951
956	34.0125216	24.148890336
958	34.89272139	24.7738321869
960	35.48545911	25.1946759681
962	35.25035001	25.0277485071
964	36.62021862	26.0003552202
966	37.7054469	26.770867299
968	38.42016564	27.2783176044
970	38.47886214	27.3199921194
972	38.64269538	27.4363137198
974	39.33039219	27.9245784549
976	39.2845443	27.892026453
978	40.10630607	28.4754773097
980	39.99812142	28.3986662082
982	41.0093598	29.116645458
984	40.70095008	28.8976745568
986	40.70659356	28.9016814276
988	41.24484585	29.2838405535
990	41.90034036	29.7492416556
992	41.25714519	29.2925730849
994	41.15506713	29.2200976623
996	41.87660328	29.7323883288
998	42.59262519	30.2407638849
1000	43.7109066	31.034743686
1002	44.26352607	31.4271035097
1004	46.98868071	33.3619633041
1006	47.22736545	33.5314294695
1008	49.09282638	34.8559067298
1010	52.88548188	37.5486921348
1012	55.00828119	39.0558796449
1014	56.00537856	39.7638187776
1016	58.90405944	41.8218822024
1018	63.3550635	44.982095085
1020	66.42870303	47.1643791513
1022	70.28239212	49.9004984052
1024	72.10761633	51.1964075943
1026	75.00514482	53.2536528222
1028	77.66362239	55.1411718969
1030	81.75116049	58.0433239479
1032	85.37061285	60.6131351235
1034	86.52103194	61.4299326774
1036	87.43233549	62.0769581979
1038	89.10596118	63.2652324378
1040	94.83201477	67.3307304867
1042	95.29040751	67.6561893321
1044	98.73636594	70.1028198174
1046	101.07164658	71.7608690718
1048	101.21776317	71.8646118507
1050	103.00841568	73.1359751328
1052	106.42877382	75.5644294122
1054	103.24388019	73.3031549349
1056	101.79381816	72.2736108936
1058	100.67304888	71.4778647048
1060	97.99954716	69.5796784836
1062	96.45362136	68.4820711656
1064	94.99128153	67.4438098863
1066	94.22945481	66.9029129151
1068	92.47662654	65.6584048434
1070	89.81507952	63.7687064592
1072	89.46356826	63.5191334646
1074	88.34766702	62.7268435842
1076	86.04674268	61.0931873028
1078	84.87240342	60.2594064282
1080	83.27619249	59.1260966679
1082	79.37532003	56.3564772213
1084	79.24850328	56.2664373288
1086	78.48299322	55.7229251862
1088	77.71713852	55.1791683492
1090	74.0991078	52.610366538
1092	72.83872701	51.7154961771
1094	72.67327827	51.5980275717
1096	68.38525662	48.5535322002
1098	72.14229573	51.2210299683
1100	71.72770458	50.9266702518
1102	72.78932502	51.6804207642
1104	70.04842464	49.7343814944
1106	69.3861558	49.264170618
1108	69.14461701	49.0926780771
1110	68.20978101	48.4289445171
1112	65.98322352	46.8480886992
1114	63.6748248	45.209125608
1116	64.34287713	45.6834427623
1118	60.92038653	43.2534744363
1120	59.56222491	42.2891796861
1122	55.41527949	39.3448484379
1124	53.63680785	38.0821335735
1126	49.75094877	35.3231736267
1128	46.17625653	32.7851421363
1130	42.3491478	30.067894938
1132	38.75766513	27.5179422423
1134	35.55851202	25.2465435342
1136	31.98487524	22.7092614204
1138	29.27519709	20.7853899339
1140	25.95554922	18.4284399462
1142	24.09973821	17.1108141291
1144	22.46237511	15.9482863281
1146	20.9673591	14.886824961
1148	19.83012249	14.0793869679
1150	18.37962966	13.0495370586
1152	17.11936734	12.1547508114
1154	15.71820111	11.1599227881
1156	14.37186495	10.2040241145
1158	13.84256253	9.8282193963
1160	12.64130904	8.9753294184
1162	11.37140757	8.0736993747
1164	9.92904609	7.0496227239
1166	8.54078232	6.0639554472
1168	7.22511912	5.1298345752
1170	6.38032032	4.5300274272
1172	5.53318443	3.9285609453
1174	4.72685607	3.3560678097
1176	4.18052628	2.9681736588
1178	3.61518744	2.5667830824
1180	3.12510936	2.2188276456
1182	2.76174033	1.9608356343
1184	2.41704648	1.7161030008
1186	2.15850186	1.5325363206
1188	1.88918724	1.3413229404
1190	1.65740607	1.1767583097
1192	1.50022869	1.0651623699
1194	1.29492018	0.9193933278
1196	1.14384939	0.8121330669
1198	1.09919697	0.7804298487
1200	0.90161055	0.6401434905
1202	0.78909636	0.5602584156
1204	0.67772379	0.4811838909
1206	0.58820355	0.4176245205
1208	0.50455296	0.3582326016
1210	0.46193607	0.3279746097
1212	0.40245336	0.2857418856
1214	0.33872727	0.2404963617
1216	0.29067153	0.2063767863
1218	0.23599224	0.1675544904
1220	0.22370367	0.1588296057
1222	0.1968756	0.139781676
1224	0.17197536	0.1221025056
1226	0.14684895	0.1042627545
1228	0.13519581	0.0959890251
1230	0.11732838	0.0833031498
1232	0.1079154	0.076619934
1234	0.09727464	0.0690649944
1236	0.08199201	0.0582143271
1238	0.07764093	0.0551250603
1240	0.07363449	0.0522804879
1242	0.06127053	0.0435020763
1244	0.05516394	0.0391663974
1246	0.05308533	0.0376905843
1248	0.04435086	0.0314891106
1250	0.04096908	0.0290880468
1252	0.03493788	0.0248058948
1254	0.02621418	0.0186120678
1256	0.02740965	0.0194608515
1258	0.05852418	0.0415521678
1260	0.0238017	0.016899207
1262	0.02213235	0.0157139685
1264	0.01968756	0.0139781676
1266	0.01591806	0.0113018226
1268	0.01476567	0.0104836257
1270	0.01427025	0.0101318775
1272	0.01275168	0.0090536928
1274	0.02553567	0.0181303257
1276	0.01041459	0.0073943589
1278	0.01196547	0.0084954837
1280	0.03513174	0.0249435354
1282	0.01077	0.0076467
1284	0.00968223	0.0068743833
1286	0.00725898	0.0051538758
1288	0.00854061	0.0060638331
1290	0.00857292	0.0060867732
1292	0.00799134	0.0056738514
1294	0.01017765	0.0072261315
1296	0.0050619	0.003593949
1298	0.00365103	0.0025922313
1300	0.00681741	0.0048403611
1302	0.0049542	0.003517482
1304	0.00317715	0.0022557765
1306	0.00543885	0.0038615835
1308	0.00318792	0.0022634232
1310	0.00546039	0.0038768769
1312	0.00187398	0.0013305258
1314	0.00423261	0.0030051531
1316	0.00288636	0.0020493156
1318	4.9123047E-4	3.487736337E-4
1320	0.00703281	0.0049932951
1322	9.82315545E-4	6.9744403695E-4
1324	0.00997302	0.0070808442
1326	0.00491112	0.0034868952
1328	0.00443724	0.0031504404
1330	0.00442647	0.0031427937
1332	0.00444801	0.0031580871
1334	0.00396336	0.0028139856
1336	0.00453417	0.0032192607
1338	0.0065697	0.004664487
1340	0.00513729	0.0036474759
1342	0.0025848	0.001835208
1344	0.00474957	0.0033721947
1346	0.001075054938	7.6328900598E-4
1348	0.00543885	0.0038615835
1350	0.01330095	0.0094436745
1352	0.05044668	0.0358171428
1354	0.00510498	0.0036245358
1356	0.00802365	0.0056967915
1358	0.00575118	0.0040833378
1360	0.00703281	0.0049932951
1362	0.00469572	0.0033339612
1364	0.0077544	0.005505624
1366	0.01839516	0.0130605636
1368	0.00611736	0.0043433256
1370	0.00180936	0.0012846456
1372	0.00554655	0.0039380505
1374	0.0067851	0.004817421
1376	6.20122599E-4	4.4028704529E-4
1378	0.00619275	0.0043968525
1380	6.32074068E-4	4.4877258828E-4
1382	0.00582657	0.0041368647
1384	0.00528807	0.0037545297
1386	0.00597735	0.0042439185
1388	0.01089924	0.0077384604
1390	0.00631122	0.0044809662
1392	0.00359718	0.0025539978
1394	0.01199778	0.0085184238
1396	0.0117393	0.008334903
1398	0.00717282	0.0050927022
1400	0.03001599	0.0213113529
